,songname,distance,neighbors
0,Sweet Sangria,1.2564098118358962,67
1,wampum prayer,1.879676548940857,65
2,Your Cloud,2.233530683076399,68
3,Crazy,2.3525476683471207,64
4,Carbon,3.2215930025058466,63
5,Pancake,3.261164405602699,69
6,strange,4.047870133923279,62
7,I Can't See New York,4.1600442990397015,70
8,mrs. jesus,5.043369919731182,71
9,Wednesday,5.144945362241415,61
10,A Sorta Fairytale,6.115713979974146,60
11,Taxi Ride,6.11731791761688,72
12,Amber Waves,7.018233703285338,59
13,Another Girl's Paradise,7.045535959231715,73
14,Scarlet's Walk,8.086197360426599,74
15,Tie Me At The Crossroads,8.20471006100026,58
16,Virginia,9.077360576777606,75
17,Closer to the Light,9.319351244799881,57
18,Gold Dust,10.078667042109805,76
19,Sunrise On The Mississippi,10.106790124684721,56
20,Rosaryville,11.064315608820658,77
21,Love Loves You Too,11.064569260335597,55
22,Porcelain Blue,12.064017682689213,78
23,Someone I Used To Love,12.06787798875098,54
24,Rosa's Coronas,13.033564616832605,79
25,Train In The Rain,13.141310409171112,53
26,In My Mother's House,14.03247495760184,80
27,Southland Of The Heart,14.08812879574282,52
28,Scanning These Crowds,15.067715955511911,51
29,Heart of Hearts,15.069841704831802,81
