,name,album,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,year,minmax_duration,minmax_tempo
0,Testify,0.8172972972972973,0.7219840783833436,0.0,0.4845360824742268,0.978,0.6363636363636364,-1.4200420831141505,1.0,0.07557172557172558,0.026204819277108434,1.09e-05,0.356,0.5111788617886179,0.8,0.9896039603960396,0.0345465673217254,0.5317980082268889
1,Guerrilla Radio,0.8172972972972973,0.7219840783833436,1.0,0.6175257731958763,0.957,1.0,-1.5160441872698578,1.0,0.19542619542619544,0.012951807228915663,7.06e-05,0.155,0.4969512195121951,0.8,0.9896039603960396,0.0338968771758549,0.4676336869452263
2,Calm Like a Bomb,0.8172972972972973,0.7219840783833436,0.0,0.3247422680412371,0.97,0.6363636363636364,-1.426617569700158,1.0,0.5020790020790021,0.023493975903614458,2.03e-06,0.122,0.37601626016260165,0.8,0.9896039603960396,0.0492087837843418,0.6754212672295591
3,Mic Check,0.8172972972972973,0.7219840783833436,1.0,0.4536082474226804,0.967,1.0,-1.5334034718569174,0.0,0.24636174636174635,0.1636546184738956,3.64e-06,0.121,0.5833333333333333,0.8,0.9896039603960396,0.0351258867576695,0.4363859421231146
4,Sleep Now In the Fire,0.8172972972972973,0.7219840783833436,0.0,0.43917525773195876,0.929,0.18181818181818182,-1.7698579694897423,1.0,0.07286902286902287,0.0016265060240963855,0.105,0.0789,0.5477642276422765,0.8,0.9896039603960396,0.0337977634999021,0.5730812946525222
5,Born of a Broken Man,0.8172972972972973,0.7219840783833436,0.0,0.30721649484536084,0.848,0.18181818181818182,-1.5641767490794318,1.0,0.07557172557172558,0.05401606425702812,0.0015199999999999,0.201,0.19715447154471535,0.8,0.9896039603960396,0.0462464411995728,0.6688045753049001
6,Born As Ghosts,0.8172972972972973,0.7219840783833436,0.0,0.4298969072164948,0.976,0.8181818181818182,-1.586533403471857,1.0,0.1819126819126819,0.0004287148594376506,0.000134,0.107,0.49085365853658536,0.8,0.9896039603960396,0.0332096890225822,0.4077136104495922
7,Maria,0.8172972972972973,0.7219840783833436,0.0,0.2855670103092783,0.873,1.0,-1.7283008942661762,0.0,0.09178794178794179,0.006967871485943775,5.400000000000001e-05,0.188,0.6280487804878049,0.8,0.9896039603960396,0.0375133700219123,0.779605975319333
8,Voice of the Voiceless,0.8172972972972973,0.7219840783833436,0.0,0.45463917525773195,0.882,0.6363636363636364,-1.9366123093108887,1.0,0.045738045738045734,0.01957831325301205,0.00684,0.15,0.4247967479674797,0.8,0.9896039603960396,0.0248730725487329,0.3760328714729019
9,New Millennium Homes,0.8172972972972973,0.7219840783833436,0.0,0.4618556701030927,0.861,0.8181818181818182,-1.609679116254603,1.0,0.07027027027027026,0.003072289156626506,0.0,0.0987,0.7733739837398373,0.8,0.9896039603960396,0.036991371328561,0.4184572779100816
10,Ashes In the Fall,0.8172972972972973,0.7219840783833436,1.0,0.4701030927835052,0.7040000000000001,0.6363636363636364,-1.7588111520252498,1.0,0.10207900207900208,0.005220883534136546,4.12e-06,0.0595,0.6666666666666666,0.8,0.9896039603960396,0.0456363965240833,0.6342868225445623
11,War Within a Breath,0.8172972972972973,0.7219840783833436,0.0,0.41134020618556694,0.965,0.5454545454545454,-1.5520778537611783,1.0,0.14864864864864863,0.004437751004016065,0.0314,0.3670000000000001,0.17682926829268292,0.8,0.9896039603960396,0.0355862697824702,0.4441076712131053
12,Bombtrack,0.6551351351351351,0.7219840783833436,1.0,0.49278350515463915,0.855,0.36363636363636365,-1.956338769068911,0.0,0.1257796257796258,0.013453815261044177,3.18e-05,0.179,0.6788617886178862,0.8,0.9861386138613861,0.0401013932904997,0.6852583531788988
13,Killing In the Name,0.6551351351351351,0.7219840783833436,1.0,0.47113402061855675,0.779,0.6363636363636364,-1.6630720673329826,1.0,0.2671517671517672,0.01857429718875502,2.04e-06,0.0247,0.7459349593495936,0.8,0.9861386138613861,0.0516492928652194,0.3904750306704193
14,Take the Power Back,0.6551351351351351,0.7219840783833436,1.0,0.5587628865979382,0.8420000000000001,0.09090909090909091,-1.8771699105733826,1.0,0.17983367983367982,0.043172690763052204,0.000153,0.173,0.30589430894308944,0.8,0.9861386138613861,0.0553120387600548,0.4725589954535614
15,Settle for Nothing,0.6551351351351351,0.7219840783833436,0.0,0.5319587628865979,0.5329999999999999,0.6363636363636364,-2.515255128879537,1.0,0.0445945945945946,0.02540160642570281,4.71e-05,0.113,0.2947154471544715,0.8,0.9861386138613861,0.0472991936276513,0.440806090784441
16,Bullet In the Head,0.6551351351351351,0.7219840783833436,1.0,0.43092783505154636,0.8059999999999999,0.36363636363636365,-1.8319305628616518,1.0,0.13305613305613306,0.00321285140562249,0.000788,0.623,0.45426829268292684,0.8,0.9861386138613861,0.0505590424297387,0.7406094392725698
17,Know Your Enemy,0.6551351351351351,0.7219840783833436,1.0,0.5917525773195876,0.765,0.36363636363636365,-2.0397159389794846,1.0,0.13305613305613306,0.014156626506024096,0.0037799999999999,0.136,0.6229674796747967,0.8,0.9861386138613861,0.0485149880526723,0.5305802121671357
18,Wake Up,0.6551351351351351,0.7219840783833436,0.0,0.42371134020618556,0.823,0.6363636363636364,-1.9868490268279848,1.0,0.11954261954261955,0.003172690763052209,0.0148,0.149,0.5823170731707317,0.8,0.9861386138613861,0.0599857441496087,0.7680278920401239
19,Fistful of Steel,0.6551351351351351,0.7219840783833436,0.0,0.5360824742268041,0.755,0.36363636363636365,-2.3753287743293003,0.0,0.1392931392931393,0.01957831325301205,0.34,0.0956,0.6178861788617886,0.8,0.9861386138613861,0.0545301970462472,0.7014189579274014
20,Township Rebellion,0.6551351351351351,0.7219840783833436,1.0,0.5412371134020619,0.597,0.18181818181818182,-2.2561809573908467,1.0,0.05727650727650728,0.0075,0.0055299999999999,0.351,0.4776422764227642,0.8,0.9861386138613861,0.0534267314539728,0.6024933246734503
21,Freedom,0.6551351351351351,0.7219840783833436,0.0,0.5144329896907217,0.613,0.6363636363636364,-2.243556023145713,1.0,0.09906444906444907,0.0006124497991967871,0.0225,0.2319999999999999,0.5396341463414634,0.8,0.9861386138613861,0.0603382584570808,0.512272678068846
22,Man on a Mission,0.21405405405405406,0.21555419473361911,0.0,0.811340206185567,0.903,0.0,-1.2872172540768017,1.0,0.032744282744282746,0.2931726907630522,2.48e-05,0.1009999999999999,0.9776422764227642,0.8,0.999009900990099,0.0368879627266502,0.5409991340116909
23,Do It for Love,0.21405405405405406,0.21555419473361911,0.0,0.6051546391752578,0.958,0.36363636363636365,-1.3542872172540767,1.0,0.06091476091476092,0.10742971887550201,0.0,0.0574,0.8455284552845529,0.8,0.999009900990099,0.0391499020013529,0.396803059825359
24,Someday We'll Know,0.21405405405405406,0.21555419473361911,0.0,0.5824742268041236,0.7809999999999999,0.09090909090909091,-1.3342977380326144,0.0,0.03201663201663202,0.023393574297188757,9.91e-06,0.0819,0.4684959349593496,0.8,0.999009900990099,0.0441077332619714,0.4960353972721368
25,Forever for You,0.21405405405405406,0.21555419473361911,0.0,0.6711340206185566,0.5670000000000001,0.8181818181818182,-1.6877958968963709,1.0,0.02494802494802495,0.5642570281124498,5.78e-06,0.186,0.37601626016260165,0.8,0.999009900990099,0.0457265899692004,0.4376398210290828
26,Life's Too Short,0.21405405405405406,0.21555419473361911,0.0,0.8587628865979381,0.805,0.0,-1.1977906365071014,1.0,0.03607068607068607,0.07630522088353414,0.0136,0.0731,0.9898373983739838,0.8,0.999009900990099,0.034517989545159,0.523259904741286
27,Getaway Car,0.21405405405405406,0.21555419473361911,0.0,0.8061855670103093,0.619,0.7272727272727273,-1.5147290899526566,1.0,0.02765072765072765,0.26506024096385544,0.0,0.0607,0.9126016260162602,0.8,0.999009900990099,0.0377049897954211,0.4961571768781121
